|url|content|date
0|https://www.instagram.com/p/Cs5bRHjv8a-/|"⏰ 팝가가 미리 알려주는 “업커밍 팝업스토어”⏰

📝 Dr. GOT YOU 팝업스토어
📍06.02(금)-06.11(일)
📍신세계 프리미엄 아울렛 여주점 EAST 광장
📍매일: 10:30~21:00

꽈추형, 홍성우 박사와 함께하는 Dr. GOT YOU 팝업스토어가
여주 프리미엄 아울렛에서 이번 주 금요일 오픈 예정!👀

이색 식료품과 특별 제작된 GOT YOU 굿즈를 만나볼 수 있는 🛒그로서리 스토어🛒와
현대인들을 위한 건강 관리 꿀팁이 가득한 🧪비밀의 LAB🧪으로 준비되어 있대~

🖊 꽈추형 사인회
🤫 SECRET 고민 상담소
🍀 GOT LUCKY 룰렛 이벤트 등
즐길거리도 넘쳐나니 꼭 방문해 보자구!

💌 꽈추형 사인회 : 6/4,11 16:00~17:30
💌 온라인 / 오프라인으로 진행되는 고민상담소
💌 여주 프리미엄 아울렛 카카오톡 플친 추가 시, 룰렛 이벤트 참여 기회 증정
💌 SNS에 방문 인증샷 업로드 시, Dr. GOT YOU 굿즈 증정

📌 왼쪽 하단을 눌러 팝업스토어 알림 신청하고 놓치지 말자!"|2023-05-31
1|https://www.instagram.com/p/CqejZt2Bfym/|"💌4월 첫째 주 핫한 팝업 모음. zip💌

✔️한달만 고깃집
📍강남구 선릉로155길 23-4 2층
📍03.15(수)-04.14(금)
📍월-화: 17:00~23:00(*라스트오더 22:00)
📍수-일: 17:00~2:00(*라스트오더 1:00)

✔️KitKat Land
📍영등포구 국제금융로 10, IFC몰 L3층
📍03.24(금)-04.02(일)
📍매일 : 10:00~22:00

✔️KANU HOUSE
📍성동구 서울숲4길 15-1
📍03.25(토)-05.21(일)
📍매일: 11:00~20:00

✔️Keds 팝업스토어
📍성동구 성수이로7길 24
📍03.30(목)-04.09(일)
📍매일: 11:00~20:00

✔️밀크터치 팝업스토어
📍성동구 서울숲길 50
📍04.01(토)-04.09(일)
📍매일: 11:00~20:00 (4/1 16:00오픈)

✔️포테이토스테이션
📍 현대프리미엄아울렛 송도점 B1F 가든스퀘어
📍 03.24(금)-04.06(목)
📍 월-일: 10:30~21:00

✔️팝마트 팝업스토어
📍부산 해운대구 센텀남대로 35
📍03.21(화)-06.19(월)
📍매일: 10:30~20:30

✔️슈가슈가룬 카페
📍용산구 한강대로23길 55 아이파크몰 테마파크 6층
📍03.04(토)-04.30(일)
📍매일 : 10:30~20:30

✔️호호텔 팝업스토어
📍 영등포구 여의대로 108, 더현대 서울 5층 플레이인더박스
📍 03.07(화)-05.08(월)
📍 매일: 10:30~20:00 (*금토일 20:30)

➡️더 자세한 정보가 궁금하다면 이전 게시물 확인하기💘

#팝업스토어 #팝업 #데이트 #데이트코스 #데이트모음집 #인기팝업스토어 #인기팝업 #핫플 #팝업스토어모음집 #팝업스토어모음 #팝업스토어모음집 #무료전시 #무료팝업 #인기팝업 #핫플 #주말데이트 #서울데이트 #가볼한곳 #카누하우스 #카누팝업스토어 #킷캣랜드 #킷캣팝업스토어 #밀크터치팝업스토어 #keds팝업스토어 #슈가슈가룬카페 #호호텔팝업스토어 #성수팝업스토어 #더현대서울팝업스토어 #여의도팝업스토어 #성수동팝업스토어"|2023-04-01
2|https://www.instagram.com/p/BwbZqTJgeID/|"4/19~4/28 봄캠핑대전 in 벨라시타

캠핑족을 부르는 캠핑대전 특가 팝업이 열렸대🏕
쉘터제품부터 텐트, 간이침대, 코랄세트, 스토브 등 캠핑에 필요한 모든 제품이 최대 50% 할인 중!⛺ #봄맞이캠핑 #캠핑용품 #캠핑족 #캠핑대전 #타키 #캠핑 #캠핑요리 #캠핑장비 #캠핑음식 #벨라시타 #팝업스토어 #패밀리세일 #팸세일 #캠핑용품할인 #캠핑용품세일"|2019-04-19
3|https://www.instagram.com/p/CYJKwfLpbC4/|"🔥@yoonj_u 가 다녀오라고 했다! 르르르 하우스의 생생한 후기를 전하는 내발내간👣

✨팝가한테 알고 싶고 가보고 싶은 팝업스토어 알려주면 팝가가 가보고 정보 준다🏃‍♂️🏃🏃‍♀️

홍대 르르르 하우스는 어땠냐면...

평일 저녁에 갔는데 대기 있음🥲

크리에이터 르르르의 하찮은 도전 해보고 도장 받고 르카페에서 커피 or 티 받을 수 있어!

먼저 미션 시작전에 순서를 기다리며 꼰대 테스트 하자! 팝가는 레벨3 나옴 무슨 투머치토커 훈장님이래...ㅋㅋ

2층으로 올라가서는 본격 미션 시작!
-노래 듣고 제목/가수 맞추기
-화면 안보고 폰으로 타자 타기
-러닝머신 달리고 몇 걸음인지 맞추기

3층 미션에서도 미션 고고!
-테이블에서 병뚜껑 치기
-2022년 버킷리스트 작성하기
-소금 퍼서 5kg 저울 맞추기

성공 여부는 상관 옶음 도전만 하면 미션 성공💃🏻

소소하고 확실한 성공의 현장임✨

스탬프 왕창 받아서 카페가면 따뜻한 음료줌 끝-!

재미있었냐고?! 글쎄...(취존 부탁 바람)

📍2021.12.24(금)-2022.01.07(금)
📍마포구 와우산로23길 56
📍매일 12:00-20:00"|2022-01-03
4|https://www.instagram.com/p/CqehHInBwA7/|"🥓한달만 고깃집 팝업스토어🥓

SNS 맛집 인플루언서, 피그웨이브와 꿉당이 만든 냉삼집, 후추네가 만나 딱 한 달만 운영하는 한정판 고깃집을 오픈했다!🍖

후추네의 냉동 삼겹살과 피그웨이브의 메추리알 떡볶이를 한자리에서 만나볼 수 있고
시원한 하이볼까지 준비되어 있어 완벽 그 잡채..🙌

한 달만 운영하는 리미티드 고깃집이 궁금하다면? 당장 달려가보자!💨

*캐치테이블로 예약 가능 / 웨이팅 후, 워크인 입장 가능

📍강남구 선릉로155길 23-4 2층
📍03.15(수)-04.14(금)
📍월-화: 17:00~23:00(*라스트오더 22:00)
📍수-일: 17:00~2:00(*라스트오더 1:00)

#팝업스토어 #팝업 #한달만고깃집 #피그웨이브 #꿉당 #후추네 #인기팝업스토어 #인기팝업 #핫플 #압구정팝업스토어 #압구정후추네 #후추네팝업스토어 #고깃집 #맛집 #냉동삼겹살 #냉삼맛집 #서울데이트 #주말데이트 #맛집추천 #고깃집 #피그웨이브맛집 #압구정데이트 #도산공원 #도산공원맛집 #도산공원핫플"|2023-04-01
5|https://www.instagram.com/p/CorOlIHvOTT/|"🧴IN 성수, 프리미엄 센슈얼 케어 : 노우라이🧴

프리미엄 바디 케어 브랜드, 노우라이가 론칭을 기념해 첫 팝업스토어를 오픈했어!🙌

남녀 모두가 사용 가능한 센슈얼 케어 제품을 선보이는 자리로,

대표 제품인 ‘베러 댄 퍼퓸 바디 스프릿’을 포함해 다양한 제품을 체험할 수 있대!🎁

✔이벤트에 참여해 3가지 스탬프를 모으고
✔포토부스에서 촬영한 네컷이미지를 SNS에 인증하면

바디 글로우 퍼퓸 3종 세트와 향기 주머니를 받을 수 있어〰

팝업 종료 후, SNS 게시물 중 추첨을 통해 호텔 숙박권까지 제공하니 참고하기❗

👇추가 이벤트 내용은 하단을 확인해 봐👇

이번 주, 노우라이 팝업으로 놀러가서
센슈얼 케어 제품 만나보고 다양한 선물도 받아 보자구~

💌스탬프 이벤트와 SNS이벤트 참여 시 바디글로우퍼퓸 3종 세트 + 향기 주머니 증정
*팝업 종료 후, 추첨을 통해 호텔 숙박권 제공
💌게릴라 이벤트로 초록 붕어빵 증정
💌설문 조사 참여 시, 바디 클리너 + 트리트먼트(10ml) 증정

📍성동구 서울숲길50
📍02.14(화)-03.19(일)
📍매일 : 11:00~20:00

#광고 #노우라이 #NOLIE"|2023-03-03
6|https://www.instagram.com/p/CrNmtk2OZSb/|"🏫 지구식단 캠퍼스 팝업스토어🏫

4월 22일 지구의 날을 맞이해
풀무원의 지속가능식품 브랜드, 지구식단이 용산에 팝업스토어를 오픈했어! 🍽

먹어서 지구를 지킨다는 콘셉트의 ‘지구식단 캠퍼스’는
지구식단 제품들과 다양한 체험거리를 만나볼 수 있대-👀

풀무원역사학과, 식물성스포츠학과 등 각 과 별로 꾸며진 공간에선

런천미트 커스텀 패키지 제작 이벤트, SNS 이벤트가 함께 진행 중이고
지구식단 캐릭터, 두식이를 활용한 귀여운 굿즈와 브랜드 콜라보 상품까지 만나볼 수 있어-🌳

지구의 날을 맞이해 4월 22일 한정 룰렛 경품 이벤트도 할 예정이라니 참고하기!💚

두식선배와 함께 지구식단 캠퍼스 투어하러 용산으로 가보자구~🎒

💌 아이파크몰 멤버십 고객 한해 간편식 제품 무료 증정 (일별 50명)
💌 방문 고객에게 플랜튜드 10% 할인권 증정
💌 인증샷 SNS에 업로드 시, 사진 인화 서비스 제공 / 추첨을 통해 스팀쿡 증정
💌 4월 22일 한정 룰렛 경품 이벤트 진행 (11시-20시)

📍용산구 한강대로23길 55, 아이파크몰 용산점 6층
📍04.14(금)-04.27(목)
📍월-목, 일 : 10:30~20:30 / 금-토 : 10:30~21:00

Photo by. @_lania_k @iparkmall"|2023-04-21
7|https://www.instagram.com/p/Bx157mrAZOm/|"5/16~5/28 설화수 in 강남역 11번출구

윤조에센스 한정판 에디션 스타 컬렉션 출시 기념
팝업스토어 설화수 유니버스가 오픈되었대🎁
인증샷 이벤트부터 피부 컨디션 측정까지 다양하게!
.

#팝업스토어가자 #설화수 #송혜교화장품 #설화수팝업스토어 #윤조에센스 #뷰티스타그램 #화장품 #화장품추천 #에센스추천 #설화수유니버스 #팝업스토어"|2019-05-24
8|https://www.instagram.com/p/CZI89K8rT-L/|"🍡찹쌀떡 맛집 익선동 호떡스 팝업 카페 가자!

🐯익선동에 오픈한 호떡스 카페! 떡 먹는 호랑이 오둥이네가 오픈한 곳이래~

흑임자, 자색고구마, 밤, 쑥, 딸기 라떼 등 5가지의 한국적인 맛있는 음료와🐅

흑임자, 자색고구마, 카스테라, 쑥, 백년초 찹쌀떡 5가지 찹쌀떡 판매함!

💕특히 카스테라랑 백년초 찹쌀떡이 맛있대! 그런데 가격이...하나에 1700원 음료는 6800원

떡 포장시 1500원임. 근데 2개부터만 구매 가능!

💵익선동의 물가를 느낄 수 있는 호떡스 팝업스토어! 그치만 호떡스 굿즈는 넘나 졸귀탱이다ㅋㅋㅋㅋ

❤️떡 안 줘도 안 잡아먹고 오히려 나한테 떡 줄거 같은 무해한 호랑이 오둥이 구경하러 가자~!

📍~02.16(수)
📍종로구 익선동 166-45
📍매일 11:30 - 21:00"|2022-01-25
9|https://www.instagram.com/p/CEiUaLxJJoo/|"이번주 방문 할 만한
⭐팝업맛집⭐
⠀
#프로스펙스오리지널 의 신상 신발, 의류, 백팩부터
#럭셔리 #골프브랜드 #지포어 의 국내 첫! 팝업스토어,
#살롱드느바에 의 고급스러운 #도자기니치퍼퓸 까지 확인해보자!

📍09.01 - 09.30 #프로스펙스오리지널
✔ 신상 신발과 백팩, 의류를 만나보자! #한정리워드 #놓치지말기
⠀
📍08.28 - 09.27 #지포어
✔ #럭셔리 #골프브랜드 G/FORE 국내 첫 팝업스토어 오픈!
⠀
📍08.28 - 09.06 #살롱드느바에
✔ 살롱드느바에의 시그니처 #도자기니치퍼퓸 의 향긋함을 느껴보자
⠀
친구들 @ 소환하고 놓치기 아쉬운 팝업스토어 방문하러 가자❣"|2020-08-31
